Dataset,Class,Precision,Sensitivity,Specificity,F1
split_pad9,grass,0.7586206896551724,1.0,0.5333333333333333,0.8627450980392156
split_pad9,legume,1.0,0.5333333333333333,1.0,0.6956521739130436
