,importance
NIR,0.2483990227493401
SAVI,0.22873687913587182
RE,0.12687051362385326
NDVI,0.0997779531399222
B,0.08200285971712556
G,0.07094703293031866
ExG,0.05443112814940203
NDRE,0.040115441419214554
R,0.02590875173619856
VARI,0.022810417398753193
