,disk_height,Pixel_Count_1,NDVI_Avg_1,SAVI_Avg_1,VARI_Avg_1,ExG_Avg_1,NDRE_Avg_1
disk_height,1.000,0.049,-0.059,-0.034,0.069,-0.065,-0.017
Pixel_Count_1,0.049,1.000,0.638,0.662,0.704,0.652,0.659
NDVI_Avg_1,-0.059,0.638,1.000,0.997,0.956,0.987,0.994
SAVI_Avg_1,-0.034,0.662,0.997,1.000,0.969,0.990,0.997
VARI_Avg_1,0.069,0.704,0.956,0.969,1.000,0.951,0.979
ExG_Avg_1,-0.065,0.652,0.987,0.990,0.951,1.000,0.979
NDRE_Avg_1,-0.017,0.659,0.994,0.997,0.979,0.979,1.000
