,importance
SAVI,0.2518598454650258
NIR,0.22812509410275192
RE,0.10598455609949856
NDVI,0.10175575812321579
G,0.06957976864801617
ExG,0.06494799317281791
B,0.06268605405856856
NDRE,0.04655299048192674
VARI,0.03527800292159642
R,0.033229936926581986
