Dataset,Class,Precision,Sensitivity,Specificity,F1
split_pad3,grass,0.782051282051282,0.9838709677419355,0.6530612244897959,0.8714285714285716
split_pad3,legume,0.9696969696969697,0.6530612244897959,0.9838709677419355,0.7804878048780488
