Dataset,Best_CV_F1_weighted,Overall_Accuracy,grass_Precision,grass_Sensitivity,grass_Specificity,grass_F1,legume_Precision,legume_Sensitivity,legume_Specificity,legume_F1
split_pad3,0.9078244380140534,0.8378378378378378,0.782051282051282,0.9838709677419355,0.6530612244897959,0.8714285714285716,0.9696969696969697,0.6530612244897959,0.9838709677419355,0.7804878048780488
split_pad5,0.9196183654006269,0.8018018018018018,0.7631578947368421,0.9354838709677419,0.6326530612244898,0.8405797101449276,0.8857142857142857,0.6326530612244898,0.9354838709677419,0.7380952380952381
split_pad9,0.921947522924669,0.8108108108108109,0.7586206896551724,1.0,0.5333333333333333,0.8627450980392156,1.0,0.5333333333333333,1.0,0.6956521739130436
