,mean_importance,std_importance
NIR,0.24464526050797877,0.014999795070203792
SAVI,0.24145263920946722,0.01173307114582012
RE,0.11645149233690831,0.010443061203935644
NDVI,0.10078299621098723,0.0009892975755035
B,0.072238861959197,0.009660134371709579
G,0.07206200657781399,0.0031894045295750547
ExG,0.05425467231761851,0.010782631700973787
NDRE,0.04230069779981693,0.0036830678499749055
R,0.028438162888089674,0.004151945630782664
VARI,0.02737321019212227,0.006872910218535322
