index,Ground Truth,Prediction
0,1664.0,1095.3722779594195
1,10168.0,7503.401326459366
2,4988.0,4145.662905613914
3,1668.0,591.8141363790414
4,5128.0,7127.966941447423
5,4216.0,3775.629848859563
6,5252.0,4878.812655742647
7,2312.0,2887.020613310264
8,5436.0,4077.6633923957406
9,5728.0,5613.327469469568
10,1364.0,2301.89121065702
11,845.5999999999999,1490.408758216264
12,968.0,857.991441833406
13,5931.999999999999,7606.294386669681
14,656.0,701.0715684524441
15,3080.0,3272.5775055824993
16,1548.0,1109.5385764423809
17,7060.0,7702.325176667364
18,5000.0,4312.756098486354
19,2096.0,2114.4541488200766
20,4180.0,3596.8883825178573
21,2028.0,2653.334718571491
22,4756.0,4454.487150863073
23,5544.0,5517.066664812869
24,4924.0,4882.905742375015
25,5080.0,4891.613256954597
26,2628.0,2455.215258140649
27,2960.0,3337.3359208348093
28,2816.0,2185.6441600089192
29,1504.0,1534.0885782896735
30,3996.0,5519.275031183955
31,4364.0,3508.4101433546207
32,1156.0,1061.710719807687
33,5824.0,7127.966941447423
34,4468.0,3756.844871965667
35,1492.0,1109.5385764423809
36,7776.0,6913.229115727025
37,5112.0,3772.580858853308
38,2484.0,2967.748811025328
39,1044.0,1871.2789399901471
40,3572.0,3222.721680228669
41,1760.0,2228.087327327089
42,1236.0,475.52692618371134
43,5344.0,7026.543348832078
44,1188.0,969.3491104660538
45,764.0,1041.431328767957
46,3872.0,4998.776266812725
47,896.0,1490.408758216264
48,2964.0,3075.6619390443248
49,248.0,715.177705418582
50,7572.0,7103.5643775175995
51,3832.0,4518.74495237452
52,2428.0,2653.334718571491
53,624.0,1095.3722779594195
54,2176.0,3478.4521828916522
55,6152.0,6060.850939502862
56,2912.0,2672.871695196997
57,956.0,993.1939430254557
58,3744.0,4258.585514852511
59,3872.0,2990.4997536624574
60,4652.0,5264.909045895731
61,848.0,688.3326313922839
62,7180.0,4940.488963376177
63,4584.0,3772.580858853308
64,480.0,1095.3722779594195
65,3516.0000000000005,4284.032670586307
66,5292.0,6297.983889822945
67,2636.0,1959.7844348626531
68,812.0,1160.0308355579768
69,4456.0,3910.5831209204875
70,5699.999999999999,4918.240394181213
71,556.0,790.8296928078759
72,7772.0,5679.980757728979
73,1520.0,1248.1431717049977
74,4188.0,4145.662905613914
75,6428.0,4940.488963376177
76,3860.0,3478.4521828916522
77,4380.0,4312.756098486354
78,3020.0,2573.2007805551584
79,572.0,1497.5452555252864
80,4732.0,4714.929076052222
81,60.0,1161.0065315290678
82,1872.0,1907.1706250502793
83,68.0,1061.710719807687
84,4152.0,4940.488963376177
85,2864.0,3508.4101433546207
86,1855.9999999999998,1907.1706250502793
87,488.00000000000006,804.0076351234628
88,2156.0,2561.8571013020887
89,324.0,604.1803225744206
90,5716.0,5089.613158280962
91,4108.0,4545.940932906006
92,6100.0,6011.0731394169425
93,3983.9999999999995,5492.40340212829
94,4004.0,3508.4101433546207
95,2648.0,2270.0814513496694
