index,Ground Truth,Prediction
0,1664.0,786.388391366153
1,10168.0,6717.522525803924
2,4988.0,3655.039878467695
3,1668.0,702.1902667838658
4,5128.0,6271.918391755839
5,4216.0,3372.1763719214996
6,3968.0,4467.835600763131
7,1768.0000000000002,2651.828709560076
8,3724.0,3220.3773953237437
9,5084.0,5554.964254302334
10,1064.0,1891.7506075067802
11,817.6,1177.4863705902185
12,675.9999999999999,735.8394982315104
13,5128.0,7118.805383400781
14,480.0,883.9646907080189
15,2240.0,2365.906315201933
16,1548.0,768.4242711545937
17,7060.0,7083.110345011862
18,5000.0,3692.7398874277087
19,1760.0,1361.2120406835686
20,3048.0,2801.828920033261
21,1336.0,2244.718826040932
22,3948.0,3360.468051403104
23,4588.0,5142.217794693417
24,3784.0,4105.138513801172
25,4212.0,4690.267681554447
26,1576.0,1571.8630955762098
27,1864.0,2475.8812830169604
28,1912.0,1146.2940925907972
29,1504.0,1166.357283603694
30,3996.0,4875.504129156055
31,4364.0,2955.831743333957
32,1156.0,828.6996701712753
33,5824.0,6349.320417343559
34,4468.0,3335.730669956525
35,1492.0,811.7047037016719
36,7776.0,6310.395237380806
37,5112.0,3291.7185455638873
38,2068.0,2592.0645281004545
39,1004.0,1543.2680374787653
40,3088.0,3269.3853446221888
41,1576.0,1301.738479352659
42,720.0,620.2320431045164
43,4804.0,6143.232334744938
44,880.0,733.8619369826678
45,748.0,56.52316762089538
46,2716.0,4895.131864377771
47,700.0000000000001,1177.4863705902185
48,2964.0,2703.389717091053
49,248.0,600.712595034666
50,7572.0,6452.769810930609
51,3832.0,3919.2474053339374
52,2428.0,2159.025237483087
53,624.0,820.4452826247493
54,1540.0,3078.3277264750095
55,4728.0,5566.86637325278
56,2376.0,2328.4517077070977
57,664.0,959.9075363256907
58,3187.9999999999995,4168.6133176693575
59,2868.0,3076.2966419480963
60,4124.0,4618.941166188031
61,696.0,770.8137611542595
62,6220.0,4480.278848515615
63,3544.0,3295.1240159541085
64,480.0,822.5093366404217
65,3516.0000000000005,3828.2037452429204
66,5292.0,5702.893792162698
67,1812.0,1900.3936178578965
68,636.0,1214.2747382552348
69,3396.0,3365.566895694283
70,5076.000000000001,4469.52137258714
71,396.00000000000006,713.5555830796322
72,6504.0,5238.955084842926
73,1228.0,1504.7200493188518
74,3384.0,3614.987555567103
75,4800.0,4451.22988274063
76,3136.0,3078.3277264750095
77,4380.0,3734.020967741159
78,3020.0,2249.280422947405
79,572.0,1154.8424634130288
80,4732.0,4138.595985062304
81,60.0,687.5882003843572
82,1872.0,1463.1259350507362
83,68.0,837.839550542383
84,4152.0,4451.22988274063
85,2864.0,2997.1128236474074
86,1412.0,1536.8999039764672
87,288.0,575.1189626815068
88,1772.0,2496.7055999253707
89,148.0,436.5997225554289
90,4660.0,4613.623743231806
91,3564.0,4108.44577758758
92,5148.0,5309.198255261747
93,3439.9999999999995,4953.017773394787
94,3452.0,2997.1128236474074
95,2220.0,1953.5136983231423
