index,Ground Truth,Prediction
0,1283.9999999999998,904.1020975486481
1,544.0,643.0203740465993
2,1712.0,794.8728450527638
3,644.0,1071.302585061817
4,300.0,449.14094206600595
5,28.0,355.8584786454386
6,292.0,324.70861346684376
7,804.0,1407.1824894514775
8,176.0,262.49244916726263
9,840.0,715.0697674418602
10,336.0,514.3723628691985
11,1132.0,781.4186046511625
12,692.0,520.3315643164015
13,808.0,849.2777356583272
14,956.0,1088.3217299578064
15,1140.0,980.4651162790694
16,868.0,980.4651162790694
17,1052.0,573.5732706651681
18,1096.0,705.6888185654011
19,903.9999999999999,511.3571063655871
20,416.0,578.1445147679326
21,40.0,440.5504127050466
22,484.0,705.6888185654011
23,184.0,541.7853933758229
24,516.0,250.62790697674416
25,540.0,1312.209302325581
26,308.0,316.97674418604646
27,16.0,316.97674418604646
28,1156.0,960.777426160338
29,196.0,389.9329223696584
30,636.0,648.720930232558
31,1424.0,1071.302585061817
32,536.0,516.0232558139534
33,292.0,355.8584786454386
34,556.0,822.4379278634926
35,1004.0,643.0203740465993
36,528.0,904.1020975486481
37,152.0,339.3154320342702
38,960.0,897.0052742616037
39,1040.0,693.6378643819874
40,824.0,449.14094206600595
41,176.0,389.9329223696584
42,1060.0,705.6888185654011
43,624.0,884.6540921630738
44,160.0,339.3154320342702
45,1268.0,958.9264594389692
46,292.0,410.68284053575957
47,804.0,744.2553547173757
48,1628.0,849.2777356583272
49,724.0000000000001,641.9166666666669
50,444.0,410.68284053575957
51,200.0,259.2837552742616
52,383.99999999999994,573.5732706651681
53,176.0,339.3154320342702
54,1056.0,849.2777356583272
55,544.0,847.7674418604649
56,952.0000000000001,1113.1627906976742
57,544.0,904.1020975486481
58,552.0,635.7894349647493
59,428.0,450.6002109704642
