Dataset,Class,Precision,Sensitivity,Specificity,F1
random_split_fixed_cz,grass,0.8333333333333334,0.9836065573770492,0.76,0.9022556390977444
random_split_fixed_cz,legume,0.9743589743589743,0.76,0.9836065573770492,0.853932584269663
