feature,VIF
SAVI_Avg_0,94.57135450857658
NDVI_Avg_0,92.71415648445294
NDRE_Avg_0,18.934668278742627
ExG_Avg_0,18.031319410316488
VARI_Avg_0,17.28294065821966
Pixel_Count_0,15.503838492787134
disk_height,1.179065381430982
