,disk_height,Pixel_Count_0,NDVI_Avg_0,SAVI_Avg_0,VARI_Avg_0,ExG_Avg_0,NDRE_Avg_0
disk_height,1.000,-0.018,0.092,0.108,0.271,0.054,0.194
Pixel_Count_0,-0.018,1.000,0.920,0.875,0.374,0.835,0.597
NDVI_Avg_0,0.092,0.920,1.000,0.987,0.634,0.934,0.786
SAVI_Avg_0,0.108,0.875,0.987,1.000,0.688,0.959,0.806
VARI_Avg_0,0.271,0.374,0.634,0.688,1.000,0.651,0.925
ExG_Avg_0,0.054,0.835,0.934,0.959,0.651,1.000,0.729
NDRE_Avg_0,0.194,0.597,0.786,0.806,0.925,0.729,1.000
