,importance
NIR,0.25741166467184434
SAVI,0.24376119302750401
RE,0.11649940728737308
NDVI,0.1008152773698237
G,0.07565921815510712
B,0.07202767210189691
ExG,0.04338489563063561
NDRE,0.040233661498309495
R,0.026175800001488485
VARI,0.024031210256017194
