Dataset,Class,Precision,Sensitivity,Specificity,F1
split_grid_best_cnn_fixed_cz,grass,0.8375,0.9852941176470589,0.6976744186046512,0.9054054054054055
split_grid_best_cnn_fixed_cz,legume,0.967741935483871,0.6976744186046512,0.9852941176470589,0.810810810810811
