,importance
NIR,0.2674795892031436
SAVI,0.19575747268410193
RE,0.12977314740642956
B,0.08599767546935627
NDVI,0.08116341926694998
G,0.07721119613892796
ExG,0.06055066532367847
NDRE,0.041676057312866
R,0.0338267106956262
VARI,0.026564066498919934
